state fips,name,total residential (1-4) properties,residential properties with 1/100 FSF risk,"number of properties with structural damage, 2020","properties with structural damage, 2020 (%)","number of properties with structural damage, 2050","properties with structural damage, 2050 (%)",30y change in properties with structural damage,30y % change in res. properties with structural damage,total 2020 AAL ($),avg 2020 AAL (res. props. w/ subst. risk + AAL) ($),total 2020 capped AAL ($),avg 2020 capped AAL (res. props. w/ subst. risk + AAL) ($),total 2050 AAL ($),total 2050 AAL (res. props. w/ subst. risk + AAL in 2020) ($),avg 2050 AAL (res. props. w/ subst. risk + AAL) ($),total 2050 capped AAL ($),avg 2050 capped AAL (res. props. w/ subst. risk + AAL) ($),30y change in rounded AAL ($),30y pctge change in rounded AAL,30y change in avg AAL ($),30y change in rounded capped AAL ($),30y pctge change in rounded capped AAL,30y change in avg capped AAL ($),total AVM among res. properties ($),total structural AVM among res. properties ($),avg AVM among res. properties ($),avg structural AVM among res. properties ($),total AVM among res. properties with risk ($),total structural AVM - res. prop. with risk ($),avg AVM - res. prop. with risk ($),avg structural AVM (res. properties with subst. risk) ($),"loss of structure AVM, 2020, (properties with subst. risk) (%)","loss of structure AVM, 2050, (properties with subst. risk) (%)","30y pctge change, loss of structure AVM",avg NFIP premium (res. props. with subst. risk + AAL),difference of avg NFIP premium vs capped AAL 2020 (%),difference of avg NFIP premium vs capped AAL 2050 (%),zcta5ce,lat,lon
21,40003,708,31,11,0.016,11,0.016,0,0,42000,3814,42000,3814,43000,43000,3920,43000,3920,1000,0.028,106,1000,0.028,106,130461000,103184000,184000,146000,2684000,2189000,244000,199000,0.019,0.02,0.028,546,5.985,6.179,40003,38.277,-85.044
21,40004,10383,424,148,0.014,153,0.015,5,0.034,258000,1744,258000,1744,277000,277000,1873,277000,1873,19000,0.074,129,19000,0.074,129,1535696000,1496847000,148000,144000,30753000,29518000,208000,199000,0.009,0.009,0.074,532,2.279,2.521,40004,37.803,-85.466
21,40006,1661,100,69,0.042,71,0.043,2,0.029,82000,1187,82000,1187,82000,82000,1193,82000,1193,0,0.005,6,0,0.005,6,184311000,157660000,111000,95000,8779000,7434000,127000,108000,0.011,0.011,0.005,517,1.296,1.307,40006,38.596,-85.333
21,40008,1162,112,53,0.046,57,0.049,4,0.075,83000,1570,83000,1570,88000,88000,1666,88000,1666,5000,0.062,96,5000,0.061,96,169870000,153488000,146000,132000,8047000,7605000,152000,143000,0.011,0.012,0.061,790,0.988,1.108,40008,37.909,-85.275
21,40009,292,79,52,0.178,53,0.182,1,0.019,56000,1067,56000,1067,59000,59000,1126,59000,1126,3000,0.055,59,3000,0.055,59,30654000,22812000,105000,78000,5162000,3809000,99000,73000,0.015,0.015,0.055,712,0.498,0.581,40009,37.47,-85.107
21,40011,156,29,23,0.147,23,0.147,0,0,26000,1147,26000,1147,27000,27000,1169,27000,1169,0,0.018,21,0,0.018,21,25545000,21421000,164000,137000,3034000,2429000,132000,106000,0.011,0.011,0.018,542,1.115,1.154,40011,38.528,-85.17
21,40012,228,10,1,0.004,1,0.004,0,0,0,436,0,436,1000,1000,528,1000,528,0,0.211,92,0,0.211,92,27335000,25213000,120000,111000,38000,35000,38000,35000,0.012,0.015,0.211,340,0.281,0.552,40012,37.901,-85.192
21,40013,2122,172,68,0.032,70,0.033,2,0.029,167000,2461,167000,2461,173000,173000,2546,173000,2546,6000,0.035,85,6000,0.035,85,368180000,344168000,174000,162000,12860000,11331000,189000,167000,0.015,0.015,0.035,665,2.699,2.826,40013,37.935,-85.458
21,40014,2,,0,0,,0,,,0,,0,,,,,,,,,,,,,394000,350000,197000,175000,,,,,,,,,,,40014,38.34,-85.43
21,40019,38,2,0,0,,0,,,0,,0,,,,,,,,,,,,,8086000,6122000,213000,161000,,,,,,,,,,,40019,38.381,-85.164
