County,county_name,household_income,residential_properties,res_properties_with_substantial_risk,properties_with_structural_damage_2020,pct_properties_with_structural_damage_2020,properties_with_structural_damage_2050,pct_properties_with_structural_damage_2050,change_in_properties_with_structural_damage,pct_change_in_properties_with_structural_damage,total_aal_2020,avg_aal_2020,capped_aal_2020,avg_capped_aal_2020,total_aal_2050,total_all_2050,avg_aal_2050,capped_aal_2050,avg_capped_aal_2050,change_in_total_all,pctChange_in_total_aal,change_in_avg_aal,change_in_capped_aal,pctChange_in_capped_aal,change_in_capped_avg_aal,total_avm,total_structure_svm,avg_avm,avg_structure_avm,total_avm_with_substantial_risk,total_structure_avm_with_substantial_risk,avg_avm_with_substantial_risk,avg_structure_avm_with_substantail_risk,pct_structure_avm_with_substantial_risk_2020,pct_structure_avm_with_substantial_risk_2050,pctChange_in_structure_avm_with_substaintial_risk,avg_nfip_premium_per_property_with_structural_damage,aal_to_nfip_ratio_in_pct_2020,aal_to_nfip_ratio_in_pct_2050,FIPS,Lat,Long,state
Adair County,"Adair County, Kentucky",38021,7123,423,200,2.80%,207,2.90%,7,3.50%,281000,1407,281000,1407,296000,296000,1480,296000,1480,15000,5.30%,73,15000,5.20%,73,779331000,670485000,109000,94000,25830000,22052000,129000,110000,1.30%,1.30%,5.20%,565,149%,162%,21001,37.106,-85.281,KY
Allen County,"Allen County, Kentucky",44036,5166,264,134,2.60%,137,2.70%,3,2.20%,160000,1192,160000,1192,168000,168000,1257,168000,1257,9000,5.40%,64,9000,5.40%,64,523951000,424489000,101000,82000,19104000,15334000,143000,114000,1.00%,1.10%,5.40%,592,102%,112%,21003,36.751,-86.192,KY
Anderson County,"Anderson County, Kentucky",55334,8956,652,302,3.40%,313,3.50%,11,3.60%,469000,1554,469000,1554,488000,488000,1616,488000,1616,19000,4.00%,62,19000,4.00%,62,1335567000,1024040000,149000,114000,53924000,39832000,179000,132000,1.20%,1.20%,4.00%,661,135%,145%,21005,38.005,-84.986,KY
Ballard County,"Ballard County, Kentucky",45048,2689,109,36,1.30%,41,1.50%,5,13.90%,30000,835,30000,835,31000,31000,866,31000,866,1000,3.90%,32,1000,3.80%,32,263470000,240786000,98000,90000,3650000,3349000,101000,93000,0.90%,0.90%,3.80%,855,-2%,1%,21007,37.051,-89.01,KY
Barren County,"Barren County, Kentucky",41459,15914,1317,778,4.90%,792,5.00%,14,1.80%,1324000,1701,1324000,1701,1369000,1369000,1760,1369000,1760,46000,3.50%,59,46000,3.50%,59,1911377000,1577374000,120000,99000,110324000,91996000,142000,118000,1.40%,1.50%,3.50%,520,227%,239%,21009,36.963,-85.932,KY
Bath County,"Bath County, Kentucky",44898,3584,491,238,6.60%,244,6.80%,6,2.50%,397000,1666,397000,1666,398000,398000,1673,398000,1673,2000,0.50%,7,2000,0.40%,7,335801000,280152000,94000,78000,29566000,24775000,124000,104000,1.60%,1.60%,0.40%,580,187%,189%,21011,38.152,-83.738,KY
Bell County,"Bell County, Kentucky",26272,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21013,36.723,-83.681,KY
Boone County,"Boone County, Kentucky",78327,40966,2481,751,1.80%,775,1.90%,24,3.20%,940000,1252,940000,1252,1024000,1023000,1363,1023000,1363,84000,8.90%,111,83000,8.90%,111,7474588000,6271395000,182000,153000,162460000,131868000,216000,176000,0.70%,0.80%,8.90%,609,106%,124%,21015,38.975,-84.731,KY
Bourbon County,"Bourbon County, Kentucky",49637,6711,517,244,3.60%,248,3.70%,4,1.60%,341000,1396,341000,1396,350000,350000,1435,350000,1435,10000,2.80%,39,10000,2.80%,39,1124047000,798211000,167000,119000,46590000,35029000,191000,144000,1.00%,1.00%,2.80%,803,74%,79%,21017,38.203,-84.21,KY
Boyd County,"Boyd County, Kentucky",48308,18489,3497,2600,14.10%,2641,14.30%,41,1.60%,2978000,1145,2978000,1145,3155000,3155000,1213,3155000,1213,177000,5.90%,68,177000,5.90%,68,2155813000,2128251000,117000,115000,292654000,287583000,113000,111000,1.00%,1.10%,5.90%,638,80%,90%,21019,38.36,-82.681,KY
